Link,Name,Address,Phone,Fax,Hotel Email,Hotel Website,Hotel Classification,Commission,Rooms,Rates,Overview Text,Year Built,Year Last Renovated,Chain,Chain Website,Discounts offered,Image URLs
https://www.travelweekly.com/Hotels/London/Queens-Hotel-p59476425,Queens Hotel,"324 Seven Sisters Road Finsbury Park, London, England N4 2AP",44 20-8880-2000,N/A,info@queenshotelltd.co.uk,http://queenshotelltd.co.uk,Not Yet Rated,-,27,-,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Ravna-Gora-Hotel-p55989428,Ravna Gora Hotel,"29 Holland Park Avenue, London, England W11 3RW",44 20-7727-7725,44 20-7221-4282,hotelravnagorauk@gmail.com,https://www.londonravnagorahotel.co.uk,Not Yet Rated,-,-,$107 - $153,N/A,1958,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Regency-House-Hotel-p9739320,Regency House Hotel,"71 Gower Street, Bloomsbury, London, England WC1E 6HJ",44 20-7637-1804,44 20-7323-5077,bookings@regencyhouse-hotel.com,http://www.regencyhouse-hotel.com,Not Yet Rated,-,-,$106 - $106,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Residence-Inn-London-Bridge-p51478442,Residence Inn London Bridge,"201-211 Long Lane, London, England SE1 4PN",44 20-3146-7344,N/A,N/A,https://www.marriott.com/en-us/hotels/lonri-residence-inn-london-bridge/overview,5 Limited Service First Class,10%,87,$389 - $545,N/A,2017,N/A,Residence Inn by Marriott,https://residence-inn.marriott.com/,N/A,"https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/3/0/180/214/127/lonri-entrance-0025-hor-clsc_O/Residence-Inn-London-Bridge-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/3/0/180/214/141/ri-lonri-sitting-room-75006_Classic-Hor_O/Residence-Inn-London-Bridge-Exterior.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/3/0/180/214/131/lonri-desk-0008-hor-clsc_O/Residence-Inn-London-Bridge-Lobby.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/161/775/17/lonri-suite-0020-hor-clsc_O/Residence-Inn-London-Bridge-Room.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Residence-Inn-London-Kensington-p51959218,Residence Inn London Kensington,"181-183 Warwick Road, London, England W14 8PU",44 20-3146-7980,44 203-146-7980,N/A,https://www.marriott.com/hotels/travel/lonrk-residence-inn-london-kensington,5 Limited Service First Class,10%,319,-,N/A,2018,N/A,Residence Inn by Marriott,https://residence-inn.marriott.com/,N/A,"https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/156/256/814/lonrk-exterior-9338-hor-clsc_O/Residence-Inn-London-Kensington-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/156/256/826/lonrk-reception-9343-hor-clsc_O/Residence-Inn-London-Kensington-Exterior.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/156/256/818/lonrk-exterior-9339-hor-clsc_O/Residence-Inn-London-Kensington-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/156/256/822/lonrk-entrance-9340-hor-clsc_O/Residence-Inn-London-Kensington-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Rocco-Forte-Browns-Hotel-p9198942,Rocco Forte Brown's Hotel,"Albemarle St, London, England W1S 4BP",44 20-7493-6020,44 20-7493-9381,reservations.browns@roccofortehotels.com,https://www.roccofortehotels.com/hotels-and-resorts/browns-hotel/,9 Deluxe,10%,117,"$722 - $2,856",Heart of Mayfair - Traditional hotel from 1837 with contemporary interiors and English elegance - 1 mile to Palace and London Eye.,1837,2018,Rocco Forte Hotels,http://www.roccofortehotels.com,Corporate discount,"https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/149/185/971/RFH_Brown_s_Hotel_-_Facade_6319_JG_Jul_22_O/Rocco-Forte-Brown%27s-Hotel-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/125/706/156/Brown_s_Hotel_-_Front_Hall_O/Rocco-Forte-Brown%27s-Hotel-Lobby.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/152/77/218/RFH_Brown_s_Hotel_-_Junior_Suite__223_393_JG_Oct_22_O/Rocco-Forte-Brown%27s-Hotel-Room.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/149/185/848/RFH_Brown_s_Hotel_-_Deluxe_Room__225_6084_JG_Jul_22_O/Rocco-Forte-Brown%27s-Hotel-Room.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Roland-House-Apartments-p58559640,Roland House Apartments,"121 Old Brompton Rd, South Kensingston, London, England SW7 3RX",44 20-7341-6800,N/A,reception@rolandhouseapartments.co.uk,https://www.rolandhouseapartments.co.uk/,Not Yet Rated,10%,94,-,"Contemporary Apartment Hotel with modern amenities; situated in residential area of South Kensington, short walk to museums.",1920,2005,N/A,N/A,Corporate discount,
https://www.travelweekly.com/Hotels/London/Roman-House-by-Skyline-p58407161,Roman House by Skyline,"Wood Street, London, England EC2Y 5BA",44 20-7036-9434,N/A,reservations@liveskyline.com,http://roman-house-apartments.londonhotelsgb.com/en/#main,Not Yet Rated,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Roseview-Hotel-London-p50878770,Roseview Hotel London,"2 Queens Ave Muswell Hill, London, England N10 3NR",44 20-8365-2535,44 20-8365-2686,reception@roseviewhotel.co.uk,https://roseviewhotel.co.uk,Not Yet Rated,-,20,$85 - $117,N/A,1993,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Rosewood-London-p6657183,Rosewood London,"252 High Holborn, London, England WC1V 7EN",44 20-7781-8888,44 20-7829-9889,london@rosewoodhotels.com,https://www.rosewoodhotels.com/en/london,9 Deluxe,10%,308,"$785 - $4,371",Historic modern hotel located close to Covent Garden and the British Museum - 9 miles from London City Airport.,1912,2013,Rosewood Hotel Group,https://www.rosewoodhotels.com/,N/A,"https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/4/0/61/383/350/Entrance-Wrought_Iron_Gates_O/Rosewood-London-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/4/0/61/383/411/Rosewood_London_Exterior1_O/Rosewood-London-Exterior.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/4/0/61/383/645/Rosewood_London_Exterior_O/Rosewood-London-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/4/0/61/384/868/Rosewood_London_Rose_Bronze_Gallery_O/Rosewood-London-Lobby.jpg?tr=w-212%2Ch-190%2Cfo-auto"
